Finished,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6_0_GROUP,Q6_1_GROUP,Q6_2_GROUP,Q6_0_1_RANK,Q6_0_2_RANK,Q6_0_3_RANK,Q6_0_4_RANK,Q6_0_5_RANK,Q6_0_6_RANK,Q6_1_1_RANK,Q6_1_2_RANK,Q6_1_3_RANK,Q6_1_4_RANK,Q6_1_5_RANK,Q6_1_6_RANK,Q6_2_1_RANK,Q6_2_2_RANK,Q6_2_3_RANK,Q6_2_4_RANK,Q6_2_5_RANK,Q6_2_6_RANK,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16_0_GROUP,Q16_1_GROUP,Q16_2_GROUP,Q16_0_1_RANK,Q16_0_2_RANK,Q16_0_3_RANK,Q16_0_4_RANK,Q16_0_5_RANK,Q16_1_1_RANK,Q16_1_2_RANK,Q16_1_3_RANK,Q16_1_4_RANK,Q16_1_5_RANK,Q16_2_1_RANK,Q16_2_2_RANK,Q16_2_3_RANK,Q16_2_4_RANK,Q16_2_5_RANK,Q17_0_GROUP,Q17_1_GROUP,Q17_2_GROUP,Q17_3_GROUP,Q17_4_GROUP,Q17_0_1_RANK,Q17_0_2_RANK,Q17_0_3_RANK,Q17_0_4_RANK,Q17_0_5_RANK,Q17_0_6_RANK,Q17_0_7_RANK,Q17_1_1_RANK,Q17_1_2_RANK,Q17_1_3_RANK,Q17_1_4_RANK,Q17_1_5_RANK,Q17_1_6_RANK,Q17_1_7_RANK,Q17_2_1_RANK,Q17_2_2_RANK,Q17_2_3_RANK,Q17_2_4_RANK,Q17_2_5_RANK,Q17_2_6_RANK,Q17_2_7_RANK,Q17_3_1_RANK,Q17_3_2_RANK,Q17_3_3_RANK,Q17_3_4_RANK,Q17_3_5_RANK,Q17_3_6_RANK,Q17_3_7_RANK,Q17_4_1_RANK,Q17_4_2_RANK,Q17_4_3_RANK,Q17_4_4_RANK,Q17_4_5_RANK,Q17_4_6_RANK,Q17_4_7_RANK,Q18,Q19_0_GROUP,Q19_1_GROUP,Q19_2_GROUP,Q19_0_1_RANK,Q19_0_2_RANK,Q19_0_3_RANK,Q19_0_4_RANK,Q19_0_5_RANK,Q19_0_6_RANK,Q19_0_7_RANK,Q19_0_8_RANK,Q19_1_1_RANK,Q19_1_2_RANK,Q19_1_3_RANK,Q19_1_4_RANK,Q19_1_5_RANK,Q19_1_6_RANK,Q19_1_7_RANK,Q19_1_8_RANK,Q19_2_1_RANK,Q19_2_2_RANK,Q19_2_3_RANK,Q19_2_4_RANK,Q19_2_5_RANK,Q19_2_6_RANK,Q19_2_7_RANK,Q19_2_8_RANK,Q20
1,R009,4,"1,2,3,4,8","1,2,3,4,5,8,9","3,4,6,7,8",8,5,1,2,,,,,1,,1,,,,,,,1,,,,,"1,2,7",3,1,1,"3,8","1,3,8","4,5,6",1,1,5,1,2,,,,,1,1,,,,,,1,,,,7,3,6,2,1,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,,3,8,1,2,,,,,,,,1,1,,,,,,,,,1,,,,,,,"1,2,4,5,7,9"
1,R010,4,"5,8",4,"2,3,4,7","6,8",3,1,2,,,1,,,,1,,,,,,,1,,,,,"2,5",2,3,1,"1,3,7","1,5,8","1,2,3,4,5",1,2,3,2,4,,,1,,,,1,,,,,,,1,,1,2,6,3,7,1,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,2,5,6,7,,,,,1,,,,,,,,,1,,,,,,,,,1,,"2,3,4,5"
1,R011,2,1,4,"3,5",,2,1,3,,1,,,,,1,,,,,,,,1,,,,"1,2,4",1,3,1,"1,3,5,7","3,4,5","1,2,3,4",2,1,1,3,2,1,,,,,,,1,,,,1,,,,2,6,7,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,3,4,5,2,,,,1,,,,,,,,,1,,,,,1,,,,,,,"2,3,4,5,7"
1,R012,3,"4,5,8","2,8,9","1,3,4",8,1,5,2,1,,,,,,,,,,1,,,1,,,,,"3,6",1,1,1,"3,6,7","3,7,8","1,3,4",1,1,1,3,2,1,,,,,,,1,,,,1,,,,4,1,6,3,7,,,,1,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,3,5,4,3,,,,,1,,,,,,,1,,,,,,,1,,,,,,"1,2,4,5,7"
1,R013,4,8,"1,3,4,8","1,2,8","3,5,6",3,5,4,,,1,,,,,,,,1,,,,,1,,,"2,3,6",1,1,2,"3,5,6","2,5,9","1,3,4",1,1,1,2,3,1,,,,,,1,,,,,,1,,,4,2,3,5,6,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,4,4,5,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,"2,4,5"
1,R014,2,"5,6","2,3,5","1,7","3,5",1,3,2,1,,,,,,,,1,,,,,1,,,,,"1,2,5,6",2,3,1,"3,4,6",8,"1,2,3,4",2,4,,,,,,,,,,,,,,,,,,,3,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,1,,,,,1,,,,,,,,,,1,,1,,,,,,,,8
1,R015,2,"1,3","1,2,3,4,5,6,7,8","1,4,5,8","2,6,7",1,5,3,1,,,,,,,,,,1,,,,1,,,,"2,3",1,2,1,"2,5,6","1,3,6","1,3,4,5",1,1,2,4,3,,1,,,,,,,1,,,,1,,,"4,5",2,1,3,6,,,,1,2,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,2,"7,1",2,4,2,,,,,,1,,,1,,,,,,,,,,1,,,,,"1,2,3,6"
1,R016,3,5,"2,3,8","1,4,7","2,5",2,1,5,,1,,,,,1,,,,,,,,,,1,,1,1,2,1,3,5,"1,2,4",1,1,2,1,3,,1,,,,1,,,,,,,1,,,7,2,3,1,6,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,4,2,1,7,,1,,,,,,,1,,,,,,,,,,,,,,1,,"1,2,3,4,5"
1,R017,4,"2,3","1,2,3,4,5,6,7,8","3,4,5,8",2,5,1,3,,,,,1,,1,,,,,,,,1,,,,"5,6",1,2,1,"3,4,5,7",4,"1,3,4",2,2,1,3,,1,,,,,,,1,,,,,,,,6,2,5,3,4,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,4,1,3,5,1,,,,,,,,,,1,,,,,,,,,,1,,,,9
1,R018,4,3,3,"1,7","2,5",3,2,1,,,1,,,,,1,,,,,1,,,,,,"1,4,5",2,3,1,"3,6,7","3,4,5","1,3,4",2,1,3,2,1,,,1,,,,1,,,,1,,,,,3,2,5,4,7,,,1,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,4,3,1,2,,,1,,,,,,1,,,,,,,,,1,,,,,,,"1,2,6"
1,R019,4,"1,2,3,4,5,7,8","3,4,5,8","1,2,3,7","5,6",3,5,2,,,1,,,,,,,,1,,,1,,,,,,1,1,1,"3,4,5,7","1,3,4,5","1,2,4,5",1,1,3,2,4,,,1,,,,1,,,,,,,1,,5,4,3,1,6,,,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,4,5,6,7,,,,,1,,,,,,,,,1,,,,,,,,,1,,"2,3,4,5,7"
1,R020,4,"1,3,4,8","2,3","1,2,3,4,5,6,7,8",8,2,1,5,,1,,,,,1,,,,,,,,,,1,,"1,2,6",3,3,3,"1,4,6,8","1,9","1,2,3,4,5",1,2,3,1,4,,,1,,,1,,,,,,,,1,,4,6,3,2,1,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,4,5,3,6,,,,,1,,,,,,1,,,,,,,,,,,1,,,"7,9"
1,R021,4,"1,2","2,3,5","4,7,8","2,5",2,3,5,,1,,,,,,,1,,,,,,,,1,,"2,4",2,3,1,"3,4,6,7","4,8","1,4",1,2,2,3,4,,1,,,,,,1,,,,,,1,,2,3,7,4,5,,1,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,4,6,5,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,"2,3,5"
1,R022,4,"1,2,3","1,2,3,4,5,6,7,8,9","1,3,4,7,8","2,6,8",5,2,4,,,,,1,,,1,,,,,,,,1,,,"3,5,6",2,1,1,"1,2,7","1,2,3,9","1,3,4,5,6",1,2,3,1,2,,,1,,,1,,,,,,1,,,,6,4,5,3,7,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,2,7,1,3,,,,,,,1,,1,,,,,,,,,,1,,,,,,"1,2,3,4,5,6,7"
1,R023,4,"1,4,8","4,5,8","2,3,4,5,7","1,3,6",2,1,3,,1,,,,,1,,,,,,,,1,,,,1,2,1,1,"3,5,7","4,5,7","1,4,5",1,2,3,2,4,,,1,,,,1,,,,,,,1,,3,6,7,2,5,,,1,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,,2,3,4,5,,,1,,,,,,,,,1,,,,,,,,,1,,,,"1,2,3,4"
1,R024,3,1,"2,3,4,5,6,8","1,6,7,8","2,3,5",2,1,3,,1,,,,,1,,,,,,,,1,,,,"3,6",1,1,1,"2,3,4,6,7","1,3,4,6,8","1,4,6",2,2,2,3,4,,1,,,,,,1,,,,,,1,,2,4,1,6,5,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,4,4,7,5,,,,1,,,,,,,,,,,1,,,,,,1,,,,"3,4,5,7,9"
1,R025,4,"4,8",,"1,5,7",,2,1,,,1,,,,,1,,,,,,,,,,,,"1,3,4",1,,1,"1,2,3,5,7","1,2,3,5","1,2,3,4,5",,1,2,3,1,,1,,,,,,1,,,1,,,,,4,3,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,6,1,,,,,,,,,,,,1,,,,,,,,,1,,,7
1,R026,4,"2,3,4,7","1,2,3,4,5,6,7,8","2,4,5,7","1,6",3,"5,2","1,4",,,1,,,,,2,,,1,,1,,,2,,,"3,6",1,1,1,"2,5,7","2,6,7","2,4",1,1,1,2,3,1,,,,,,1,,,,,,1,,,3,5,6,4,7,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,1,2,2,5,3,,1,,,,,,,,,,,1,,,,,,1,,,,,,"2,3,5,7"
1,R027,4,3,"1,2,3,4,5,6,7,8","1,7","5,6",3,2,5,,,1,,,,,1,,,,,,,,,1,,3,2,1,1,"1,4,7","1,2,8","1,2,3,4",1,1,1,3,,1,,,,,,,1,,,,,,,,2,"1,3",6,,,,1,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,3,7,4,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,"1,2,3,4,5,6"
